,Все
1213,489061.25539742387
1214,489061.3036096699
1215,489061.35091460514
1216,489061.3973293042
1217,489061.4428705203
1218,489061.48755469144
1219,489061.53139794635
1220,489061.5744161101
1221,489061.6166247101
1222,489061.65803898143
1223,489061.6986738725
1224,489061.7385440505
1225,489061.7776639065
1226,489061.81604756083
1227,489061.853708868
1228,489061.8906614218
1229,489061.9269185604
1230,489061.9624933707
1231,489061.99739869346
1232,489062.03164712776
1233,489062.0652510356
1234,489062.09822254634
1235,489062.13057356107
1236,489062.1623157569
1237,489062.19346059125
1238,489062.22401930584
1239,489062.25400293095
1240,489062.2834222891
1241,489062.3122879994
1242,489062.34061048087
1243,489062.3683999566
1244,489062.3956664573
1245,489062.4224198248
1246,489062.44866971584
1247,489062.4744256053
1248,489062.49969678995
1249,489062.52449239144
1250,489062.5488213598
1251,489062.5726924766
1252,489062.5961143583
1253,489062.619095459
1254,489062.6416440738
1255,489062.6637683418
1256,489062.6854762488
1257,489062.70677563024
1258,489062.7276741743
1259,489062.7481794244
1260,489062.7682987819
1261,489062.78803950903
1262,489062.80740873126
1263,489062.82641344
1264,489062.8450604951
1265,489062.86335662723
1266,489062.8813084405
1267,489062.89892241475
1268,489062.91620490776
1269,489062.9331621577
1270,489062.94980028545
1271,489062.96612529655
1272,489062.9821430836
1273,489062.9978594283
1274,489063.0132800035
1275,489063.0284103754
1276,489063.0432560054
1277,489063.05782225204
1278,489063.07211437315
1279,489063.08613752754
1280,489063.0998967769
1281,489063.1133970877
1282,489063.126643333
1283,489063.1396402941
1284,489063.15239266225
1285,489063.1649050405
1286,489063.17718194536
1287,489063.1892278082
1288,489063.201046977
1289,489063.21264371806
1290,489063.2240222172
1291,489063.2351865816
1292,489063.2461408411
1293,489063.25688894966
1294,489063.26743478695
1295,489063.2777821595
1296,489063.2879348023
1297,489063.29789637995
1298,489063.3076704882
1299,489063.31726065505
1300,489063.3266703421
1301,489063.33590294595
1302,489063.34496179904
1303,489063.3538501713
1304,489063.362571271
1305,489063.37112824613
1306,489063.3795241853
1307,489063.38776211924
1308,489063.39584502135
